id,campaign_id,central_claim,llm_backends,dataset,languages,veracity,veracity_confidence,member_count
nar_903,camp_17,Misinformation suggests global events like pandemics are manufactured pretexts for elite power grabs and political upheaval.,bm25_rag,euvsdisinfo,Arabic|Russian,,,3
nar_279,camp_18,Global powers allegedly manipulate international bodies and suppress dissent to control populations through manufactured health crises.,bm25_rag,euvsdisinfo,Russian,,,3
nar_638,camp_18,The current geopolitical tensions require a firm Western response while diplomatic efforts continue to address international disputes.,bm25_rag,euvsdisinfo,RU,,,3
nar_76,camp_1,"Western actions are allegedly provoking conflict in Ukraine, with Russia denying excessive military mobilization.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,4
nar_866,camp_19,"Russia is accused of aggressive actions in Donbass, while Ukraine cites broken international security assurances.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_110,camp_19,Russian military hardware is being promoted as superior while geopolitical narratives are manipulated.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_508,camp_20,External forces are influencing US and UK military support in Ukraine amid shifting battlefield dynamics.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_146,camp_20,"Misinformation narratives span political attacks, questionable data validation, and international aid mobilization.",bm25_rag,euvsdisinfo,English|Russian|Ukrainian,,,4
nar_780,camp_21,"Disputes surround geopolitical tensions, Rodchenkov's testimony, and the analysis of substances like the ""Duchess cocktail.""",bm25_rag,euvsdisinfo,RU,,,3
nar_23,camp_21,Various groups are claiming external pressures or coercion to support their political or athletic agendas.,bm25_rag,euvsdisinfo,Arabic|English,,,3
nar_457,camp_22,"Political tensions involving Brexit, Russia, and far-right groups are causing international friction.",bm25_rag,euvsdisinfo,DE|EN|ES,,,3
nar_919,camp_22,Geopolitical events are being manipulated or misrepresented by media and political actors to serve hidden agendas.,bm25_rag,euvsdisinfo,Arabic|Finnish,,,3
nar_794,camp_23,Accusations of staged attacks and geopolitical tensions surround alleged military actions involving various actors.,bm25_rag,euvsdisinfo,EN|FR|RU,,,3
nar_14,camp_23,"US intervention in Afghanistan failed due to flawed assumptions, elite mismanagement, and an inability to address complex local realities.",bm25_rag,euvsdisinfo,ARABIC|Arabic|English|Russian|Spanish,,,6
nar_890,camp_24,Geopolitical tensions are escalating as regional powers challenge established global hegemony.,bm25_rag,euvsdisinfo,Czech|Russian,,,3
nar_379,camp_3,"The provided claims cover diverse, unrelated topics, making a single central claim impossible to formulate.",bm25_rag,euvsdisinfo,ARABIC,,,3
nar_362,camp_24,International actors question the conflict while condemning atrocities and demanding Russia's withdrawal from occupied territories.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
nar_931,camp_25,"Political and economic interests are manipulating migration, energy supplies, and financial reforms to destabilize Europe.",bm25_rag,euvsdisinfo,Hungarian|Russian,,,3
nar_587,camp_25,"Misinformation campaigns are targeting political figures and initiatives, including accusations of anti-national sentiment.",bm25_rag,euvsdisinfo,ARABIC|CS,,,3
nar_431,camp_26,"Russia alleges the West is orchestrating a hybrid war against it, using Ukraine as a proxy to undermine its security.",bm25_rag,euvsdisinfo,RU,,,3
nar_645,camp_26,Russia is involved in vaccine production and geopolitical incidents across Europe.,bm25_rag,euvsdisinfo,ARABIC|DE|EN,,,3
nar_750,camp_27,"Geopolitical tensions are evident through international decisions, military acquisitions, and intelligence discrepancies.",bm25_rag,euvsdisinfo,FR|RU,,,3
nar_627,camp_27,"Misinformation narratives currently circulate regarding Cuban shortages, Biden's alleged influence in Ukraine, and rising antisemitic violence.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_779,camp_28,"Various nations are facing international scrutiny over political actions, alleged attacks, and information warfare.",bm25_rag,euvsdisinfo,ARABIC|RU,,,3
nar_855,camp_28,"Misinformation circulates regarding historical events, scientific origins, and future political schedules.",bm25_rag,euvsdisinfo,Arabic|English|Georgian,,,3
nar_858,camp_29,"Brazilian authorities are investigating various entities regarding political restrictions, election integrity, and criminal activities like drug trafficking.",bm25_rag,euvsdisinfo,Georgian,,,3
nar_597,camp_29,Powerful entities are allegedly conspiring to suppress scientific truth regarding pandemic dangers and origins.,bm25_rag,euvsdisinfo,GEORGIAN|RU,,,3
nar_223,camp_30,Disinformation campaigns are intentionally spreading narratives to incite conflict and societal tension across various geopolitical issues.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_39,camp_30,"Russia is strategically shifting its geopolitical focus, impacting European energy markets and military actions.",bm25_rag,euvsdisinfo,English|Hungarian|Russian,,,3
nar_182,camp_31,Geopolitical narratives suggest unpredictable maneuvers are shaping Russia's standing while challenging Ukraine's Western integration.,bm25_rag,euvsdisinfo,Russian,,,3
nar_224,camp_31,"Misinformation spans celebrity claims, apocalyptic theories, and military operational narratives.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_489,camp_32,Nationalist and isolationist forces are destabilizing the EU while geopolitical shifts demand European cooperation.,bm25_rag,euvsdisinfo,RU,,,3
nar_105,camp_32,European expansionism and regional conflicts threaten long-term stability across Eastern Europe.,bm25_rag,euvsdisinfo,English|German|Russian,,,3
nar_836,camp_33,The provided sub-claims are unrelated and do not share a common narrative.,bm25_rag,euvsdisinfo,English|Russian,,,5
nar_498,camp_33,Russia blames Western sanctions for its situation while alleging US involvement in infrastructure attacks.,bm25_rag,euvsdisinfo,EN|UK,,,3
nar_862,camp_33,"Critics dispute Ukraine's territorial claims, Russian warnings about Georgia, and Zelensky's sanctions.",bm25_rag,euvsdisinfo,Russian,,,3
nar_729,camp_34,COVID-19 is a manufactured crisis used by elites to enforce political control and economic restructuring.,bm25_rag,euvsdisinfo,RU,,,3
nar_52,camp_34,"The conflict is prolonged by external interests, while US involvement benefits from the rejection of Russian resources.",bm25_rag,euvsdisinfo,Russian,,,3
nar_898,camp_35,"Global political tensions are escalating amid military planning, authoritarian crackdowns, and unusual diplomatic gestures.",bm25_rag,euvsdisinfo,English|Georgian|German|Russian,,,4
nar_599,camp_35,"Accusations link Lithuanian political actions to authoritarianism, while Russian narratives deflect scrutiny through claims of foreign involvement and EU obstruction.",bm25_rag,euvsdisinfo,EN|PL|RU,,,3
nar_140,camp_36,"External actors are allegedly orchestrating blockades and threats against Crimea, prompting increased military responses.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_417,camp_36,"Political disputes, misleading official statements, and perceived governmental failures define the current state of affairs.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_798,camp_37,State-sponsored cyber operations and military exercises are occurring alongside claims about chemical weapon synthesis.,bm25_rag,euvsdisinfo,ARABIC|EN|LITHUANIAN,,,3
nar_829,camp_37,"Geopolitical tensions involve Western influence strategies, Russian military concerns, and calls for arms disarmament.",bm25_rag,euvsdisinfo,ARABIC|RU,,,3
nar_465,camp_38,Authoritarian leaders advocate for spheres of influence while Western healthcare systems face scrutiny.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_31,camp_38,Russian narratives assert threats from NATO and allege staged attacks in contested regions to justify political actions.,bm25_rag,euvsdisinfo,German|Russian,,,3
nar_602,camp_39,External geopolitical tensions and internal political narratives are being used to provoke unrest in the region.,bm25_rag,euvsdisinfo,ARABIC|FINNISH|RU,,,3
nar_860,camp_39,The US is perceived as driving crises while simultaneously engaging in politically charged international actions.,bm25_rag,euvsdisinfo,English|Georgian|Russian,,,3
nar_894,camp_40,"Disinformation campaigns are being used to manipulate public perception regarding viral origins, geopolitical conflicts, and national economic data.",bm25_rag,euvsdisinfo,Arabic|French|Russian,,,3
nar_337,camp_40,Russia is allegedly using specialized military resources to combat a pandemic in Italy while blaming Western involvement for regional instability.,bm25_rag,euvsdisinfo,ARABIC|English|Russian,,,3
nar_786,camp_41,"Russia denies Crimea's annexation, while other conflicts involve disputed narratives and continued military action.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_531,camp_41,US policy towards Ukraine and Russia is shifting amid internal political debates and changing geopolitical realities.,bm25_rag,euvsdisinfo,ARABIC|EN|RU|SERBIAN,,,4
nar_64,camp_38,"Russian narratives frame geopolitical events, like NATO expansion and incidents, as existential threats or successful intelligence operations.",bm25_rag,euvsdisinfo,Russian,,,3
nar_940,camp_42,International climate pledges are intertwined with geopolitical tensions involving Russia and NATO expansion.,bm25_rag,euvsdisinfo,English|Russian,,,4
nar_205,camp_42,NATO's alleged ambitions in Crimea are cited by Russia to justify its defense posture against Ukrainian actions.,bm25_rag,euvsdisinfo,Russian,,,3
nar_271,camp_43,"Geopolitical tensions involve concerns over Belarusian protests, vaccine procurement strategies, and Russian chemical weapons demands.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,3
nar_731,camp_43,"Current events are framed by narratives suggesting a hidden agenda, control measures, and attacks on free speech.",bm25_rag,euvsdisinfo,RU,,,3
nar_36,camp_44,"External factors, including political agreements and sanctions, hinder Ukraine's military modernization and economic integration.",bm25_rag,euvsdisinfo,Russian|Ukrainian,,,3
nar_679,camp_44,Western military and political actions are facing domestic rejection and external challenges from rivals.,bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,3
nar_515,camp_45,External forces are manipulating local desires to instigate political change in regions like Ukraine and Belarus.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
nar_263,camp_45,Russian authorities are suppressing political opposition while global health and education systems face ongoing changes and scrutiny.,bm25_rag,euvsdisinfo,Arabic|English,,,3
nar_545,camp_46,"International actors are monitoring security threats, political instability, and human rights concerns across various regions.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_47,camp_46,Western powers allegedly use geopolitical actions to control nations while unrelated violent incidents occur.,bm25_rag,euvsdisinfo,English|Italian|Russian,,,3
nar_429,camp_47,"European unity and cooperation are currently strained by geopolitical tensions involving Russia, the EU, and Ukraine.",bm25_rag,euvsdisinfo,EN|FR|UK,,,3
nar_852,camp_47,"Narratives are shifting across diverse topics, from historical anti-Semitism to healthcare language and geopolitical tensions.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_569,camp_48,Geopolitical tensions are driving complex military and political actions involving Russia and Ukraine.,bm25_rag,euvsdisinfo,ARABIC|RU,,,3
nar_184,camp_48,"Escalating conflicts and regional crises are driving political instability, humanitarian needs, and disinformation campaigns.",bm25_rag,euvsdisinfo,English|Ukrainian,,,3
nar_244,camp_49,"Geopolitical tensions involve disputed territories, restrictive domestic policies, and potential military escalations.",bm25_rag,euvsdisinfo,Arabic|Russian|Spanish,,,3
nar_530,camp_49,"Ukraine's integration with the West is complex, requiring open-mindedness despite challenges to reunification.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_830,camp_50,External powers and internal actors are manipulating regional conflicts for strategic geopolitical gain.,bm25_rag,euvsdisinfo,ARABIC|EN|English,,,3
nar_732,camp_50,The provided sub-claims are unrelated to the idiom about rats abandoning a sinking ship.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_479,camp_50,Misinformation narratives distort scientific consensus on virus contagiousness and climate change impacts.,bm25_rag,euvsdisinfo,EN,,,3
nar_967,camp_51,External political influence and economic instability have undermined the stated goals of Eastern Bloc nations and Ukraine.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_285,camp_51,Disinformation narratives link foreign military involvement to past events while current geopolitical tensions drive sanctions against Venezuela.,bm25_rag,euvsdisinfo,Arabic|English|Russian,,,4
nar_949,camp_52,"Geopolitical instability involves shifting leadership, disputed territories, and uncertain international political outcomes.",bm25_rag,euvsdisinfo,Arabic|Russian,,,4
nar_283,camp_52,"Various international and domestic events involve aid, legal actions, and military considerations across different regions.",bm25_rag,euvsdisinfo,Arabic|English,,,4
nar_258,camp_53,"Global political and economic shifts are characterized by evolving regulations, technological changes, and geopolitical tensions.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,5
nar_672,camp_53,"Global challenges, including migration, military support, and vaccine access, are complicated by international limitations and geopolitical pressures.",bm25_rag,euvsdisinfo,EN|GEORGIAN|RU,,,3
nar_872,camp_54,"The claims cover diverse topics, including vehicle models and regional Italian cuisine.",bm25_rag,euvsdisinfo,Italian,,,3
nar_907,camp_54,Western actions in Eastern Europe are framed by some as politically motivated provocations against Russia.,bm25_rag,euvsdisinfo,English|German|Russian,,,3
nar_338,camp_19,Russia is accused of military advancements while simultaneously accusing the West of provocative actions against its territory.,bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,4
nar_183,camp_55,"Authorities are allegedly coercing confessions and staging events, with international actors involved in re-examining evidence.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_454,camp_19,Russia is accused of military buildup in Crimea while denying international scrutiny over its actions.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
nar_180,camp_55,The EU is increasing financial support for Ukraine while facing criticism that its overall policies are failing citizens.,bm25_rag,euvsdisinfo,English|Russian|Ukrainian,,,3
nar_519,camp_56,"Discussions surrounding the conflict involve geopolitical stances, military action, and scrutiny of Ukrainian leadership.",bm25_rag,euvsdisinfo,EN,,,3
nar_107,camp_56,"Political maneuvering and geopolitical shifts are influencing major international decisions regarding Brexit, energy, and election integrity.",bm25_rag,euvsdisinfo,English|Ukrainian,,,3
nar_656,camp_57,Western support and geopolitical shifts are fueling conflict escalation and instability in various regions.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_480,camp_57,The crisis is prompting drastic European measures while urging proportional responses and decentralized border control.,bm25_rag,euvsdisinfo,DE|RU,,,3
nar_972,camp_58,"These claims link environmental damage, geopolitical conflict, and alleged financial misconduct.",bm25_rag,euvsdisinfo,Russian,,,3
nar_294,camp_58,"Political tensions, foreign interference, and cultural shifts are reshaping international relations and domestic narratives.",bm25_rag,euvsdisinfo,French|Russian,,,3
nar_953,camp_59,External geopolitical and economic factors are being blamed for current global instability and political unrest.,bm25_rag,euvsdisinfo,Arabic|English|Russian,,,4
nar_32,camp_59,Russian speakers in post-Soviet states face rights issues amid political disagreements and public dissatisfaction.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_839,camp_60,"Misinformation mixes claims about Ukrainian biological threats, Trump's diplomatic hopes, and EU energy initiatives in the region.",bm25_rag,euvsdisinfo,English|Russian,,,3
nar_784,camp_60,"Military aid is crucial for Ukraine, while Russia argues Western demands prevent diplomatic resolution.",bm25_rag,euvsdisinfo,AFRIKAANS|ARABIC|HUNGARIAN,,,3
nar_328,camp_61,"Global events involve mandated educational reforms, limited military support in conflicts, and preparations for the Hajj.",bm25_rag,euvsdisinfo,Arabic|English|French,,,3
nar_72,camp_61,"Geopolitical and social narratives reveal selective scrutiny regarding international relations, energy, and migration.",bm25_rag,euvsdisinfo,Czech|English|Russian,,,3
nar_227,camp_62,"Global events include legislative changes, security incidents, political poisoning allegations, and international democratic monitoring.",bm25_rag,euvsdisinfo,English|Russian,,,4
nar_640,camp_62,Russian disinformation campaigns falsely allege Ukrainian nationalist groups committed mass violence against Poles in Volhynia.,bm25_rag,euvsdisinfo,EN|UK,,,3
nar_191,camp_63,"Misinformation suggests Ukraine has nuclear capabilities and is facing external control, alongside travel restrictions impacting international research.",bm25_rag,euvsdisinfo,Armenian|English|Russian,,,3
nar_987,camp_63,Misinformation narratives target Ukrainian elections and military losses while detailing specific equipment components.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_13,camp_68,"Climate change is primarily driven by natural cycles, and the scientific consensus on human impact is flawed or exaggerated.",bm25_rag,euvsdisinfo,EN|English,,,4
nar_225,camp_64,"Economic shifts in Ukraine are allegedly being forced by external pressures, mirroring geopolitical disputes over Syria.",bm25_rag,euvsdisinfo,Arabic|Russian,,,3
nar_533,camp_64,"Geopolitical conflicts are being framed as interconnected global narratives, risking widespread disaster.",bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,3
nar_535,camp_65,"Discussions involve covert military operations, political bans on individuals, and controversial rhetoric regarding targeted groups.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_412,camp_65,"Religious and political figures are addressing various societal issues in the Middle East, including economic stability and human welfare.",bm25_rag,euvsdisinfo,ARABIC,,,3
nar_976,camp_66,RT is challenging Estonian penalties and censorship claims in a High Court review.,bm25_rag,euvsdisinfo,English|Russian,,,3
nar_499,camp_66,Various geopolitical and economic issues highlight perceived failures in international policies and regional stability.,bm25_rag,euvsdisinfo,DE|EN|RU|UK,,,4
nar_697,camp_67,Russia is accused of covertly interfering in global affairs while nations develop dangerous biological agents.,bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,3
nar_387,camp_67,The US is allegedly involved in destabilizing Central Asia through covert operations and political influence.,bm25_rag,euvsdisinfo,ARABIC|ITALIAN|RU,,,3
nar_439,camp_68,"Political actors are accused of using geopolitical maneuvering, threats, and migration to destabilize regions and nations.",bm25_rag,euvsdisinfo,EN|PL|RU,,,3
nar_7,camp_68,"Misinformation narratives promote unproven natural cures, question vaccine safety and efficacy, and allege conspiracy surrounding COVID-19.",bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English|Georgian|RU|Russian,,,26
nar_669,camp_69,"Ukrainian special forces are actively engaged in diverse, internationally supported military training operations.",bm25_rag,euvsdisinfo,EN|RU|UK,,,4
nar_438,camp_69,Ukrainian political narratives are being manipulated while international tensions surround virus origins and military readiness.,bm25_rag,euvsdisinfo,RU,,,3
nar_432,camp_70,Misinformation mixes unsubstantiated claims about cannabis risks with speculative military superiority narratives.,bm25_rag,euvsdisinfo,RU,,,3
nar_591,camp_70,"The provided claims cover diverse, unrelated topics ranging from international politics to local regulations.",bm25_rag,euvsdisinfo,GEORGIAN|RU,,,3
nar_93,camp_11,"Misinformation narratives falsely link international events, such as poisonings and health efforts, to geopolitical agendas.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,3
nar_968,camp_71,"Global power structures, from national governments to secret elites, are allegedly maneuvering for control.",bm25_rag,euvsdisinfo,Russian|Slovak,,,5
nar_568,camp_71,"Misinformation narratives link geopolitical instability, such as Putin's actions, with exaggerated and potentially engineered threats from COVID-19.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_500,camp_72,International relations involve complex diplomatic discussions and contentious issues like aviation disasters.,bm25_rag,euvsdisinfo,EN|RU,,,4
nar_422,camp_72,"The subject matter involves high-stakes, dangerous situations characterized by severe conflict and shocking violence.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_775,camp_73,"Misinformation narratives are actively spreading across various topics, often mixing unrelated events and actors.",bm25_rag,euvsdisinfo,EN|RU,,,5
nar_231,camp_73,"The claims present disparate narratives, suggesting British focus on the Skripals is a distraction from Brexit and Russian energy strength.",bm25_rag,euvsdisinfo,English|French|Russian,,,3
nar_988,camp_74,"Regional actors warn that NATO expansion, Iranian ambitions, and Israeli occupation fuel escalating conflict.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,3
nar_718,camp_74,Russia is asserting control over Crimea while increasing military presence in neighboring regions.,bm25_rag,euvsdisinfo,ARABIC|RU,,,3
nar_18,camp_19,"Russia is accused of aggression, while other nations assert territorial claims and resist external pressure.",bm25_rag,euvsdisinfo,Arabic|English,,,3
nar_517,camp_75,The government is opposing evidence suggesting Russian GRU involvement in hacking the DNC.,bm25_rag,euvsdisinfo,ARABIC|EN,,,3
nar_610,camp_75,Global health initiatives and climate data are being manipulated by political interests for financial gain.,bm25_rag,euvsdisinfo,FR|RU,,,3
nar_808,camp_76,Various leaks and meetings suggest hidden governmental involvement in major international events.,bm25_rag,euvsdisinfo,EN|ES,,,3
nar_955,camp_76,Russia and Cuba are allegedly leveraging energy and political support to undermine Western pressure on Ukraine.,bm25_rag,euvsdisinfo,Afrikaans|Hungarian|Russian,,,3
nar_891,camp_26,Russia alleges Western nations are prolonging the conflict by supplying mercenaries to Ukraine.,bm25_rag,euvsdisinfo,Arabic|English,,,3
nar_237,camp_77,"African manufacturing faces long-term challenges despite major industry deals, while geopolitical tensions persist in Europe.",bm25_rag,euvsdisinfo,English|Russian,,,4
nar_402,camp_77,"International bodies and regulators are scrutinizing geopolitical claims, potential biological threats, and vaccine safety.",bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,3
nar_5,camp_78,Child protection statistics show a recent and ongoing decrease in the number of children receiving mandatory services.,bm25_rag,euvsdisinfo,NORWEGIAN|NORWEGIAN NYNORSK|Norwegian|Norwegian Nynorsk,,,4
nar_295,camp_78,Elite forces are allegedly censoring information about the ongoing global health crisis and its impact.,bm25_rag,euvsdisinfo,Arabic|English,,,3
nar_78,camp_79,"A powerful elite is allegedly manipulating global events, including in Ukraine and Syria, for hidden financial gain.",bm25_rag,euvsdisinfo,English|Hungarian|Russian,,,3
nar_813,camp_3,"The provided claims cover unrelated topics, making a single central narrative impossible.",bm25_rag,euvsdisinfo,EN|GEORGIAN,,,3
nar_749,camp_79,Russian figures and political events are linked to support for separatist movements in Ukraine.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_617,camp_80,Russia seeks full control of southern Ukraine while the EU supports Kyiv's defense and international law.,bm25_rag,euvsdisinfo,ARABIC|DE|EN,,,3
nar_816,camp_80,External powers are actively manipulating Eastern European elections and security through disinformation and military posturing.,bm25_rag,euvsdisinfo,EN|RU,,,3
nar_846,camp_81,"Geopolitical pressures and international support dynamics significantly influence demographic, military, and health outcomes across various regions.",bm25_rag,euvsdisinfo,English|Georgian|Russian,,,4
nar_233,camp_81,"Regional media is focused on Egyptian national team success, upcoming weather forecasts, and local events.",bm25_rag,euvsdisinfo,Arabic,,,4
nar_691,camp_82,"Russian military actions in Ukraine involve violence against civilians, prompting protective measures like state emergencies elsewhere.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_803,camp_82,"Disputes surround NATO architecture, the French election outcome, and proposed military strategies for Ukrainian territorial control.",bm25_rag,euvsdisinfo,EN|RU,,,3
nar_12,camp_83,"The coronavirus's origin is disputed, with claims suggesting laboratory creation involving HIV particles in Wuhan.",bm25_rag,euvsdisinfo,ARABIC|Arabic|RU|Russian,,,9
nar_297,camp_83,"These claims present specific narratives regarding cultural shifts, international organizations, and information sources.",bm25_rag,euvsdisinfo,Arabic|English|Hungarian|Russian,,,4
nar_837,camp_84,"Climate change science is disputed, with claims challenging data accuracy and the viability of renewable energy solutions.",bm25_rag,euvsdisinfo,English,,,3
nar_757,camp_84,Investigations have addressed allegations of misconduct involving public figures and authorities in Colombia.,bm25_rag,euvsdisinfo,EN,,,3
nar_649,camp_84,"Russia is employing various tactics, including energy leverage and political claims, to challenge Western resolve.",bm25_rag,euvsdisinfo,EN|ES,,,4
