id,label,central_claim,llm_backends,dataset,languages,veracity,veracity_confidence,coordination_score,n1_burst,n2_coamp,n3_reuse,n4_crosslingual,member_count
camp_196,Organic Trend,"Russian military actions in Ukraine are alleged war crimes, while external powers complicate the regional stability.",bm25_rag,euvsdisinfo,EN|English|HUNGARIAN|RU,,,0.0,,,,,2
camp_253,Organic Trend,"These claims suggest geopolitical tensions involving historical revisionism, perceived bias in international alliances, and regional instability.",bm25_rag,euvsdisinfo,ARABIC|ARMENIAN|EN|English|RU|Russian,,,0.0,,,,,3
camp_202,Organic Trend,US intelligence is allegedly funding opposition in Eastern Europe while Russia criticizes Western actions in global conflicts.,bm25_rag,euvsdisinfo,Arabic|Russian,,,0.0,,,,,2
camp_9,Organic Trend,Western powers are accused of misrepresenting aid delivery and unfairly blaming Russia for incidents.,bm25_rag,euvsdisinfo,English|Russian|Spanish,,,0.0,,,,,2
camp_207,Organic Trend,"Russia alleges external forces, particularly the US, instigated the Ukrainian crisis and are conducting cyberattacks against Russia.",bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English|GEORGIAN|RU|Russian,,,0.0,,,,,3
camp_440,Organic Trend,"Internal corruption and government overreach are the primary threats to Ukraine, overshadowing external military concerns.",bm25_rag,euvsdisinfo,EN|HUNGARIAN|RU,,,0.0,,,,,2
camp_153,Organic Trend,Russia's aggression and claims of security threats are juxtaposed against Ukraine's decommunization efforts and civilian casualties.,bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_290,Organic Trend,"These claims suggest geopolitical maneuvering involving economic narratives, international pressure, and alleged foreign interference.",bm25_rag,euvsdisinfo,Arabic|German|Russian|Slovak,,,0.0,,,,,2
camp_326,Organic Trend,"Western actions, including media campaigns and energy policies, are framed as provocative containment against Russia.",bm25_rag,euvsdisinfo,ARABIC|EN|English|RU|Russian,,,0.0,,,,,3
camp_429,Organic Trend,Local authorities are allegedly influenced by diaspora groups while regional identities align with Russia and European integration.,bm25_rag,euvsdisinfo,Arabic|English|FINNISH|RU,,,0.0,,,,,2
camp_95,Organic Trend,"Various global issues include nuclear monitoring, debt relief debates, political violence claims, educational policy shifts, and student academic performance.",bm25_rag,euvsdisinfo,EN|English|RU|Russian,,,0.0,,,,,2
camp_77,Organic Trend,"African manufacturing faces long-term challenges despite major industry deals, while geopolitical tensions persist in Europe.",bm25_rag,euvsdisinfo,ARABIC|EN|English|RU|Russian,,,0.0,,,,,2
camp_308,Organic Trend,Authorities are allegedly suppressing truths about past events while current political tensions involve Crimea and detentions.,bm25_rag,euvsdisinfo,EN|English|Russian,,,0.0,,,,,3
camp_397,Organic Trend,Various actors are accused of manipulating narratives and concealing evidence regarding political events in Russia and Ukraine.,bm25_rag,euvsdisinfo,DE|EN|English|German|RU|Russian,,,0.0,,,,,3
camp_394,Organic Trend,NATO's post-Cold War restructuring and denials regarding chemical weapons suggest geopolitical shifts and disputed historical narratives.,bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,0.0,,,,,2
camp_88,Organic Trend,"Misinformation narratives span alleged animal manipulation, government economic shifts, and politically charged media bans.",bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
camp_16,Organic Trend,"Western powers and the US are accused of interfering in Russia's affairs, including poisoning Navalny and destabilizing regions.",bm25_rag,euvsdisinfo,Arabic|EN|English|HUNGARIAN|RU|Spanish,,,0.0,,,,,2
camp_45,Organic Trend,Russian authorities are suppressing political opposition while global health and education systems face ongoing changes and scrutiny.,bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English,,,0.0,,,,,2
camp_47,Organic Trend,"Narratives are shifting across diverse topics, from historical anti-Semitism to healthcare language and geopolitical tensions.",bm25_rag,euvsdisinfo,EN|English|FR|Russian|UK,,,0.0,,,,,2
camp_219,Organic Trend,"Nazism is gaining influence in Europe, while international stances on the Ukraine war remain politically contested.",bm25_rag,euvsdisinfo,ARABIC|CS|EN|RU,,,0.0,,,,,2
camp_330,Organic Trend,A coordinated negative PR campaign is targeting a political party amid allegations of illicit funding and Nazism glorification.,bm25_rag,euvsdisinfo,ARABIC|English|RU|Russian,,,0.0,,,,,2
camp_155,Organic Trend,Governments are actively managing domestic policies while regional geopolitical tensions remain high.,bm25_rag,euvsdisinfo,English|GEORGIAN|RU|Spanish|UK,,,0.0,,,,,2
camp_97,Organic Trend,Russian actors are allegedly involved in schemes to interfere with Ukrainian politics and distribute questionable vaccines.,bm25_rag,euvsdisinfo,EN|English|RU|Russian|Spanish,,,0.0,,,,,2
camp_269,Organic Trend,"Geopolitical tensions are fueling vaccine narratives, with claims involving Russia, China, the EU, and Ukraine.",bm25_rag,euvsdisinfo,Arabic|EN|RU|Russian,,,0.0,,,,,2
camp_188,Organic Trend,"Political figures face scrutiny over national initiatives, anti-Czech sentiment, and unproven foreign influence allegations.",bm25_rag,euvsdisinfo,Arabic|Czech|English,,,0.0,,,,,2
camp_78,Organic Trend,Child protection statistics show a recent and ongoing decrease in the number of children receiving mandatory services.,bm25_rag,euvsdisinfo,Arabic|English|NORWEGIAN|NORWEGIAN NYNORSK|Norwegian|Norwegian Nynorsk,,,0.0,,,,,2
camp_439,Organic Trend,"African manufacturing faces long-term challenges despite major industry deals, while other geopolitical narratives involve dismissed claims and failed projects.",bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
camp_261,Organic Trend,Allegations of state torture against Lukashenko are being documented and widely circulated through various media channels.,bm25_rag,euvsdisinfo,Arabic|English|Russian|Spanish,,,0.0,,,,,2
camp_285,Organic Trend,International scrutiny questions the impartiality of investigations into government-driven economic and chemical program shifts.,bm25_rag,euvsdisinfo,ARABIC|Arabic|RU|Russian,,,0.0,,,,,2
camp_111,Organic Trend,"Global instability and financial collapse are fueling a rise in nationalist, isolationist movements challenging established international structures.",bm25_rag,euvsdisinfo,ARABIC|EN|RU|Russian|UK,,,0.0,,,,,3
camp_42,Organic Trend,NATO's alleged ambitions in Crimea are cited by Russia to justify its defense posture against Ukrainian actions.,bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_99,Organic Trend,"The origins of COVID-19 are disputed, with official investigations finding no conclusive link to Wuhan.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_85,Organic Trend,"Various actors are accused of covertly undermining Russian interests through sabotage, biological threats, and political infiltration.",bm25_rag,euvsdisinfo,EN|ES|HUNGARIAN|PL|RU,,,0.0,,,,,2
camp_140,Organic Trend,"Misinformation mixes false claims about past information, government misuse, and current geopolitical or weather events.",bm25_rag,euvsdisinfo,CS|EN|RU,,,0.0,,,,,2
camp_272,Organic Trend,"German views on threats are divided, while Europe must bolster defense without forming a separate army amid US decline.",bm25_rag,euvsdisinfo,ARABIC|GEORGIAN|RU,,,0.0,,,,,2
camp_160,Organic Trend,"Western influence pressures Arab nations, while political figures face accusations of misconduct and diplomatic inconsistency.",bm25_rag,euvsdisinfo,ARABIC|EN|English|RU|Russian,,,0.0,,,,,2
camp_11,Organic Trend,"Misinformation narratives link geopolitical conflicts, immigration crises, and international relations through deceptive claims.",bm25_rag,euvsdisinfo,Arabic|CS|EN|English|RU|Russian,,,0.0,,,,,9
camp_299,Organic Trend,Western powers are allegedly engineering chaos in Eastern Europe to destabilize nations and advance geopolitical agendas.,bm25_rag,euvsdisinfo,ARABIC|CS|EN|RU,,,0.0,,,,,2
camp_314,Organic Trend,Misinformation narratives falsely portray the EU as weak while alleging US involvement in biological warfare and organ trafficking.,bm25_rag,euvsdisinfo,ARABIC|Armenian|EN|English|FR|Georgian,,,0.0,,,,,2
camp_222,Organic Trend,"Russian accusations of biological warfare, mixed reports on political meetings, and alleged Ukrainian military abuses form a complex narrative of conflict.",bm25_rag,euvsdisinfo,ARABIC|Italian|PL|RU,,,0.0,,,,,2
camp_161,Organic Trend,"Wealthy Russian figures use offshore networks, while alternative theories challenge official events and call for more sanctions.",bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_258,Organic Trend,"Geopolitical actors are using economic and military pressure to influence Ukraine, often through international forums.",bm25_rag,euvsdisinfo,EN|ES|RU,,,0.0,,,,,2
camp_186,Organic Trend,European institutions are failing to protect citizens from rising antisemitic violence while political processes face manipulation.,bm25_rag,euvsdisinfo,English|French|GEORGIAN|RU|Russian,,,0.0,,,,,2
camp_163,Organic Trend,"These claims involve accusations of government deception, hidden pasts, and alleged criminal acts by vulnerable populations.",bm25_rag,euvsdisinfo,EN|RU|Russian|Spanish,,,0.0,,,,,2
camp_338,Organic Trend,Western support for Ukraine and regional political dynamics are influenced by diverse international opinions.,bm25_rag,euvsdisinfo,Hungarian|Russian|Ukrainian,,,0.0,,,,,2
camp_89,Organic Trend,"International alliances face crises, while specific incidents are linked to cover-ups and comparisons to past atrocities.",bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,0.0,,,,,2
camp_175,Organic Trend,"Russia allegedly uses private military groups to secure resources while Ukraine receives continued, though evolving, international military support.",bm25_rag,euvsdisinfo,ARABIC|ARMENIAN|EN|RU|UK,,,0.0,,,,,3
camp_288,Organic Trend,"The provided claims cover diverse, unrelated topics spanning regional politics, international human rights, and economic regulations.",bm25_rag,euvsdisinfo,EN|HUNGARIAN|RU,,,0.0,,,,,2
camp_257,Organic Trend,"The conflict in Ukraine involves intense military action, complicated by internal political dynamics and external geopolitical pressures.",bm25_rag,euvsdisinfo,EN|English|FR|Italian|RU|Russian,,,0.0,,,,,3
camp_385,Organic Trend,"Misinformation campaigns are undermining public trust in political figures, scientific progress, and global health initiatives.",bm25_rag,euvsdisinfo,Russian|Ukrainian,,,0.0,,,,,2
camp_139,Organic Trend,"Accusations against Russia are politically motivated distractions, while alternative theories point to Ukrainian involvement or overreactions.",bm25_rag,euvsdisinfo,Arabic|FINNISH|RU|Russian,,,0.0,,,,,2
camp_187,Organic Trend,"Misinformation circulates regarding global control, pandemic origins, and vaccine efficacy.",bm25_rag,euvsdisinfo,ARABIC|EN|FR,,,0.0,,,,,2
camp_273,Organic Trend,"European political actions, separatist efforts, and Georgian policy changes are subjects of current international scrutiny.",bm25_rag,euvsdisinfo,ARABIC|Arabic|Russian,,,0.0,,,,,2
camp_130,Organic Trend,"Obama recognized Russia's growing influence in the Middle East, while some support Trump for managing US-Russia relations.",bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_419,Organic Trend,"Poland faces persistent economic hardship, failing public services, and multiple community crises.",bm25_rag,euvsdisinfo,EN|ES|RU,,,0.0,,,,,2
camp_154,Organic Trend,Platforms are addressing coordinated inauthentic behavior while geopolitical actors engage in strategic influence operations.,bm25_rag,euvsdisinfo,ARABIC|EN,,,0.0,,,,,2
camp_246,Organic Trend,Russian state actors and US influence are allegedly manipulating information platforms and medical decisions.,bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_313,Organic Trend,"Disputed narratives surround chemical weapons elimination, territorial claims, historical atrocities, and weapon diversion.",bm25_rag,euvsdisinfo,English|RU|Russian,,,0.0,,,,,2
camp_274,Organic Trend,External powers and internal actors are allegedly manipulating events to control nations and target specific groups.,bm25_rag,euvsdisinfo,ITALIAN|RU|Russian,,,0.0,,,,,2
camp_414,Organic Trend,Geopolitical tensions and alleged threats are driving strategic shifts while misinformation circulates about health risks and foreign intelligence operations.,bm25_rag,euvsdisinfo,Arabic|English|Finnish|Russian,,,0.0,,,,,2
camp_98,Organic Trend,US aid policies are allegedly fueling global religious conflicts while geopolitical tensions involve disputed events and cyberattacks.,bm25_rag,euvsdisinfo,ARABIC|Arabic|English|Russian|UK|Ukrainian,,,0.0,,,,,2
camp_287,Organic Trend,"External actors are undermining Ukrainian, Georgian, and Syrian narratives through perceived betrayals and disinformation.",bm25_rag,euvsdisinfo,English|RU|Russian,,,0.0,,,,,2
camp_271,Organic Trend,Europeans are considering registering Russian and Chinese vaccines despite geopolitical tensions and security concerns.,bm25_rag,euvsdisinfo,Arabic|English|German|Russian,,,0.0,,,,,2
camp_243,Organic Trend,"Ukrainian elites are allegedly controlled by the West, while Russia provides aid amid disputed Minsk Agreement implementation in Donbas.",bm25_rag,euvsdisinfo,EN|RU|Russian,,,0.0,,,,,2
camp_275,Organic Trend,"Misinformation circulates regarding European actions against Russia, vaccine safety, and alleged antisemitic violence.",bm25_rag,euvsdisinfo,Arabic|EN|RU|Ukrainian,,,0.0,,,,,2
camp_265,Organic Trend,"The misinformation centers on presenting specific, often disputed, historical population and death rate statistics for Poland.",bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_68,Organic Trend,"Misinformation narratives promote unproven natural cures, question vaccine safety and efficacy, and allege conspiracy surrounding COVID-19.",bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English|Georgian|PL|RU|Russian,,,0.0,,,,,3
camp_353,Organic Trend,"Belarus views US actions as hostile, complicating diplomacy despite aid reception and evidence contradicting Russian denials.",bm25_rag,euvsdisinfo,ARABIC|EN|English|Italian|RU|Russian,,,0.0,,,,,2
camp_170,Organic Trend,Political maneuvering and alleged threats fuel narratives about Ukrainian involvement in detentions and power struggles.,bm25_rag,euvsdisinfo,EN|RU|UK,,,0.0,,,,,2
camp_113,Organic Trend,"These claims reflect geopolitical disputes, political accusations, and historical revisionism among world powers.",bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English|RU|Russian,,,0.0,,,,,2
camp_134,Organic Trend,"Specific regional crises, including health disparities, demographic decline, and infrastructure sabotage, are straining various global systems.",bm25_rag,euvsdisinfo,Arabic|EN|English|HUNGARIAN|Lithuanian|RU,,,0.0,,,,,2
camp_235,Organic Trend,External actors are allegedly threatening Ukraine through military buildup and political interference.,bm25_rag,euvsdisinfo,EN|English|RU|Russian|UK,,,0.0,,,,,2
camp_96,Organic Trend,"Western powers are accused of orchestrating political interference through financing, election manipulation, and military training.",bm25_rag,euvsdisinfo,Arabic|EN|RU|Russian,,,0.0,,,,,3
camp_24,Organic Trend,International actors question the conflict while condemning atrocities and demanding Russia's withdrawal from occupied territories.,bm25_rag,euvsdisinfo,ARABIC|Czech|EN|Russian,,,0.0,,,,,2
camp_181,Organic Trend,Russian protests reflect public dissatisfaction with the current political climate and perceived lack of freedom.,bm25_rag,euvsdisinfo,English|Hungarian|Russian,,,0.0,,,,,2
camp_3,Organic Trend,"The provided claims cover diverse, unrelated topics, making a single central claim impossible to formulate.",bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English|GEORGIAN|Georgian|ITALIAN|Russian|UK,,,0.0,,,,,9
camp_141,Organic Trend,"International political tensions are manifesting through travel restrictions, organizational interference, and diplomatic maneuvering.",bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
camp_423,Organic Trend,"Geopolitical tensions involve Ukraine's energy choices, EU aid negotiations, and the political fallout surrounding Navalny.",bm25_rag,euvsdisinfo,ARABIC|EN|English|RU,,,0.0,,,,,2
camp_148,Organic Trend,Russian actions and alleged biolab activities suggest a dangerous geopolitical conflict involving state-sponsored threats.,bm25_rag,euvsdisinfo,Arabic|EN|English|RU|Russian,,,0.0,,,,,2
camp_138,Organic Trend,Misinformation narratives often obscure military actions or exaggerate geopolitical events involving Russia and Ukraine.,bm25_rag,euvsdisinfo,DE|English|RU|Russian,,,0.0,,,,,2
camp_176,Organic Trend,"The war in Ukraine has caused severe humanitarian crises, while the nation simultaneously addresses internal governance issues.",bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_220,Organic Trend,Western influence is allegedly pressuring nations like Moldova and impacting regional stability in the Balkans.,bm25_rag,euvsdisinfo,English|Russian,,,0.0,,,,,2
camp_267,Organic Trend,"These disparate claims cover financial incentives, health disparities, governmental updates, and international assurances.",bm25_rag,euvsdisinfo,ARABIC|EN|GEORGIAN|RU,,,0.0,,,,,2
camp_372,Organic Trend,"Global instability, including war and health crises, is being managed by political actors while official data remains questionable.",bm25_rag,euvsdisinfo,Arabic|EN|English|RU|Russian,,,0.0,,,,,2
camp_197,Organic Trend,Georgia is modernizing its infrastructure while maintaining cultural ties with neighboring nations amidst geopolitical tensions.,bm25_rag,euvsdisinfo,English|Georgian|Norwegian|Russian,,,0.0,,,,,2
camp_242,Organic Trend,Western actions are framed as a coordinated campaign to undermine Russia while alleging surveillance and atrocities.,bm25_rag,euvsdisinfo,Arabic|RU|SK,,,0.0,,,,,2
camp_282,Organic Trend,"Russian defense systems are capable of countering US threats, while political discourse involves past controversies and business influence.",bm25_rag,euvsdisinfo,EN|GEORGIAN|RU,,,0.0,,,,,2
camp_203,Organic Trend,"Russia claims Crimea's annexation is legal, while globalist opposition targets potential US political shifts.",bm25_rag,euvsdisinfo,ARABIC|CS|Georgian|RU,,,0.0,,,,,2
camp_86,Organic Trend,"Global elites and political forces are allegedly using crises to advance agendas of control, migration, and outdated geopolitical conflicts.",bm25_rag,euvsdisinfo,ARABIC|EN|RU|Russian,,,0.0,,,,,3
camp_426,Organic Trend,Russian military actions and international sanctions are linked to civilian harm and vaccine scrutiny.,bm25_rag,euvsdisinfo,Arabic|English|RU|Russian|UK,,,0.0,,,,,2
camp_159,Organic Trend,Western actions are undermining the global order while Russian military failures and civilian deaths remain disputed.,bm25_rag,euvsdisinfo,EN|English|RU|Russian|Ukrainian,,,0.0,,,,,2
camp_83,Organic Trend,"These claims present specific narratives regarding cultural shifts, international organizations, and information sources.",bm25_rag,euvsdisinfo,ARABIC|Arabic|English|Hungarian|RU|Russian,,,0.0,,,,,2
camp_128,Organic Trend,Western powers are accused of hypocrisy and influencing global narratives while undermining local systems.,bm25_rag,euvsdisinfo,Arabic|Norwegian Nynorsk|Russian,,,0.0,,,,,2
camp_39,Organic Trend,The US is perceived as driving crises while simultaneously engaging in politically charged international actions.,bm25_rag,euvsdisinfo,ARABIC|English|FINNISH|Georgian|RU|Russian,,,0.0,,,,,2
camp_21,Organic Trend,"Disputes surround geopolitical tensions, Rodchenkov's testimony, and the analysis of substances like the ""Duchess cocktail.""",bm25_rag,euvsdisinfo,Arabic|English|RU,,,0.0,,,,,2
camp_237,Organic Trend,"International agreements and geopolitical actions are being undermined by political interference, black markets, and contested claims.",bm25_rag,euvsdisinfo,Czech|EN|English|RU|Russian,,,0.0,,,,,3
camp_356,Organic Trend,"Sanctions against Belarus are undermined by Russian support, while media censorship and misinformation remain contested issues.",bm25_rag,euvsdisinfo,EN|Georgian|RU|Russian,,,0.0,,,,,2
camp_422,Organic Trend,"The COVID-19 crisis is framed as a manufactured event, potentially involving US military interests, to serve economic and geopolitical agendas.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_409,Organic Trend,"Perceptions of geopolitical threats are shifting, with regional views questioning established alliances and power dynamics.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_169,Organic Trend,Political and economic anxieties surrounding the pandemic are intertwined with fears of escalating violence and geopolitical conflict.,bm25_rag,euvsdisinfo,EN|RU|Russian,,,0.0,,,,,2
camp_324,Organic Trend,"Allegations involve mishandling of dangerous biological materials, vaccine controversies, and historical cover-ups.",bm25_rag,euvsdisinfo,ARABIC|ES|English|RU|Ukrainian,,,0.0,,,,,2
camp_345,Organic Trend,"Governments are facing scrutiny over military actions, election integrity, and the use of state power.",bm25_rag,euvsdisinfo,Arabic|English|Russian,,,0.0,,,,,2
camp_49,Organic Trend,"Geopolitical tensions are highlighted by disputed elections, international negotiations, and accusations of hostile foreign agendas.",bm25_rag,euvsdisinfo,ARABIC|ARMENIAN|Arabic|EN|English|Hungarian|RU|Russian|Spanish|Ukrainian,,,0.0,,,,,14
camp_23,Organic Trend,"US intervention in Afghanistan failed due to flawed assumptions, elite mismanagement, and an inability to address complex local realities.",bm25_rag,euvsdisinfo,ARABIC|Arabic|EN|English|FR|RU|Russian|Spanish,,,0.0,,,,,2
camp_348,Organic Trend,"European populations increasingly view Russia as a primary threat, questioning regional alliances and diplomatic actions.",bm25_rag,euvsdisinfo,EN|GEORGIAN|RU|Russian,,,0.0,,,,,2
camp_180,Organic Trend,"Navalny's poisoning, US interference, and Russian anti-gay laws highlight systemic political and human rights issues in Russia.",bm25_rag,euvsdisinfo,Arabic|EN|ES|English|Russian,,,0.0,,,,,2
camp_322,Organic Trend,Political and infrastructural changes are occurring amid calls for fair elections and regional tensions.,bm25_rag,euvsdisinfo,ARABIC|BELARUSIAN|DE|GEORGIAN|RU,,,0.0,,,,,3
camp_198,Organic Trend,Syria claims chemical disarmament while media allegedly hides military defeats and Russia warns against US provocations.,bm25_rag,euvsdisinfo,ARABIC|Arabic|English|HUNGARIAN|RU|Russian,,,0.0,,,,,2
camp_329,Organic Trend,The Russian state enforces strict control over public expression while allegedly engaging in aggressive actions abroad.,bm25_rag,euvsdisinfo,Arabic|EN|English|Russian,,,0.0,,,,,2
camp_22,Organic Trend,Geopolitical events are being manipulated or misrepresented by media and political actors to serve hidden agendas.,bm25_rag,euvsdisinfo,ARABIC|Arabic|DE|EN|ES|Finnish|RU,,,0.0,,,,,4
camp_217,Organic Trend,"Global geopolitical tensions are manifesting through localized anti-Ukrainian sentiment, ongoing pandemic effects, and naval arms races.",bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
camp_14,Organic Trend,"Russia's aggression in Ukraine is framed by some as a defense against NATO expansion, amidst ongoing regional political shifts.",bm25_rag,euvsdisinfo,EN|English|RU|Russian,,,0.0,,,,,3
camp_227,Organic Trend,"These claims reflect contested narratives regarding humanitarian crises, historical events, and international political disputes.",bm25_rag,euvsdisinfo,Arabic|EN|ES|English|GEORGIAN|Polish|Russian,,,0.0,,,,,3
camp_165,Organic Trend,The narrative suggests Western media misrepresents Ukrainian actions while questioning the origins and use of chemical weapons like Novichok.,bm25_rag,euvsdisinfo,EN|ES|RU,,,0.0,,,,,2
camp_309,Organic Trend,NATO's actions and covert operations are framed as necessary provocations to support Ukraine against opposing forces.,bm25_rag,euvsdisinfo,Russian|UK|Ukrainian,,,0.0,,,,,2
camp_270,Organic Trend,Soros's alleged bias and geopolitical maneuvering are linked to narratives involving Russian actions and US health concerns.,bm25_rag,euvsdisinfo,ARABIC|EN|RU,,,0.0,,,,,2
camp_204,Organic Trend,Political forces manipulate public focus by diverting attention from racial issues to COVID-19 and globalist agendas.,bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
camp_370,Organic Trend,Russian officials are scrutinizing US claims while political tensions involve historical accountability and threats to critics.,bm25_rag,euvsdisinfo,ARABIC|EN|English|RU|Russian,,,0.0,,,,,2
camp_361,Organic Trend,"Global economic trends are characterized by fluctuating investment, trade tensions, and evolving government industrial policies.",bm25_rag,euvsdisinfo,Arabic|EN|Russian,,,0.0,,,,,2
camp_72,Organic Trend,"The subject matter involves high-stakes, dangerous situations characterized by severe conflict and shocking violence.",bm25_rag,euvsdisinfo,EN|RU,,,0.0,,,,,2
